emp_id,Salary,Raise Percent
526540,193710,27
859327,144133,30
887387,132617,18
779497,77898,15
896517,139856,6
220965,90576,23
721091,178641,10
633636,163773,10
823898,50397,29
413865,54458,12
439483,120471,10
809408,77853,29
748190,169446,11
397283,153446,7
553684,95109,15
495667,179134,16
936158,150019,24
537591,198487,26
909018,199714,11
878666,146140,4
995710,86539,12
511059,116308,28
754455,184099,24
489275,59428,7
500905,147337,14
984409,91921,28
812053,143236,17
550206,84087,1
728053,87149,27
184257,111117,14
235295,129752,22
767674,192236,10
391837,79619,24
466560,182967,13
900756,126429,23
678628,85523,17
492527,149794,18
886060,122324,1
366431,58708,4
331297,117633,28
496541,126630,2
654617,172325,5
163409,167184,10
299088,176777,1
961442,115488,29
155097,66883,1
976422,140108,19
138911,48198,22
160938,50635,14
399707,53198,3
713294,45889,21
627298,136675,26
709884,87746,14
932773,194249,8
796605,185593,30
885395,149011,23
411503,76401,15
622405,191292,4
233136,185438,22
170637,56546,22
215719,192586,9
452163,46371,24
572204,49301,26
779517,137648,22
844157,171193,18
312726,124808,14
419549,131219,12
505927,100218,12
526254,178521,25
460226,137705,1
840113,187877,2
432820,164189,14
957596,124776,18
530134,84449,3
316372,71123,2
501658,104020,2
147133,136568,30
551149,115204,22
595558,140459,8
637407,91209,19
597741,109416,7
403534,113419,11
314661,115542,9
317987,136780,26
820109,100243,25
388558,118321,0
403207,48687,11
143711,53789,30
402180,119879,18
242388,147420,14
819367,57365,0
962291,99825,10
856379,125561,4
149972,59008,4
174955,96703,1
549389,59506,1
466832,53430,21
203380,94656,27
915991,91984,4
289172,126984,2
