StoreId,TransactionId,CustomerId,ProductId,Quantity,TransactionTime
2,2,2,2,2,2022-12-23 18:49:45
2,2,2,2,2,2022-12-23 13:19:51
2,2,2,2,2,2022-12-23 22:39:21
2,514,14,21,5,2022-12-23 00:24:15
2,363,44,16,2,2022-12-23 10:46:04
2,773,47,19,6,2022-12-23 22:18:53
2,822,39,15,6,2022-12-23 02:39:02
2,2,2,2,2,2022-12-23 15:34:54
2,2,2,2,2,2022-12-23 08:35:19
2,227,42,16,5,2022-12-23 19:58:57
2,2,2,2,2,2022-12-23 02:23:41
2,2,2,2,2,2022-12-23 21:49:12
2,2,2,2,2,2022-12-23 18:30:51
2,372,42,14,3,2022-12-23 19:25:27
2,713,17,25,3,2022-12-23 19:27:14
2,846,1,16,4,2022-12-23 05:09:24
2,969,17,13,4,2022-12-23 03:22:26
2,694,28,17,5,2022-12-23 21:56:11
2,269,28,18,1,2022-12-23 21:34:17
2,67,12,19,2,2022-12-23 16:38:56
2,94,15,22,3,2022-12-23 23:28:59
2,444,50,25,1,2022-12-23 23:09:35
2,912,40,19,4,2022-12-23 14:29:21
2,642,35,16,2,2022-12-23 13:21:27
2,545,39,24,13,2022-12-23 00:38:31
2,977,7,20,6,2022-12-23 12:08:01
2,908,6,16,3,2022-12-23 09:04:54
2,743,2,20,3,2022-12-23 05:08:40
2,2,2,2,2,2022-12-23 11:48:51
2,522,44,21,2,2022-12-23 12:02:10
2,669,36,22,5,2022-12-23 19:17:32
2,721,39,19,5,2022-12-23 09:14:29
2,51,22,19,2,2022-12-23 09:43:18
2,931,36,23,6,2022-12-23 09:19:22
2,947,41,23,4,2022-12-23 22:44:47
2,2,2,2,2,2022-12-23 16:42:54
2,716,16,17,2,2022-12-23 14:08:05
2,565,32,13,1,2022-12-23 05:45:58
2,2,2,2,2,2022-12-23 17:58:57
2,2,2,2,2,2022-12-23 21:13:58
2,95,24,17,3,2022-12-23 17:21:23
2,2,2,2,2,2022-12-23 21:11:15
2,820,45,15,1,2022-12-23 03:05:54
2,2,2,2,2,2022-12-23 15:56:30
2,641,13,15,4,2022-12-23 08:02:32
2,776,4,13,5,2022-12-23 13:57:25
2,393,26,24,4,2022-12-23 07:23:31
2,121,20,21,5,2022-12-23 15:18:58
2,832,31,19,5,2022-12-23 06:20:36
2,256,40,14,3,2022-12-23 21:03:35
2,974,15,27,6,2022-12-23 21:30:48
