StoreId,TransactionId,CustomerId,ProductId,Quantity,TransactionTime
1,971,13,2,10,2022-12-23 04:13:05
1,605,7,10,5,2022-12-23 09:36:22
1,567,37,2,8,2022-12-23 19:44:43
1,607,38,5,4,2022-12-23 04:36:41
1,141,17,9,7,2022-12-23 19:11:29
1,248,17,11,12,2022-12-23 06:27:58
1,726,45,4,13,2022-12-23 14:12:34
1,725,4,9,1,2022-12-23 12:15:47
1,232,30,10,9,2022-12-23 01:26:10
1,954,47,6,14,2022-12-23 06:45:59
1,38,2,5,3,2022-12-23 10:19:48
1,701,3,3,11,2022-12-23 13:22:38
1,783,49,7,8,2022-12-23 18:00:04
1,333,23,8,9,2022-12-23 20:18:44
1,482,1,11,2,2022-12-23 09:05:36
1,286,35,1,12,2022-12-23 01:23:31
1,734,43,5,1,2022-12-23 23:58:16
1,20,1,3,2,2022-12-23 05:18:30
1,203,18,6,10,2022-12-23 23:35:44
1,924,30,5,4,2022-12-23 11:35:46
1,764,49,1,3,2022-12-23 01:49:37
1,90,9,1,13,2022-12-23 04:57:11
1,873,2,11,2,2022-12-23 18:27:17
1,416,22,3,12,2022-12-23 21:14:53
1,73,45,2,4,2022-12-23 12:50:16
1,604,30,6,6,2022-12-23 02:36:17
1,834,43,8,6,2022-12-23 06:39:40
1,207,27,1,10,2022-12-23 05:47:17
1,778,7,4,5,2022-12-23 17:55:18
1,259,38,10,2,2022-12-23 07:57:35
1,370,3,12,6,2022-12-23 13:27:04
1,328,12,10,8,2022-12-23 04:38:17
1,326,13,2,9,2022-12-23 10:45:53
1,485,14,8,2,2022-12-23 13:24:28
1,190,33,4,3,2022-12-23 23:26:14
1,120,35,5,10,2022-12-23 08:40:20
1,561,9,5,7,2022-12-23 16:47:17
1,864,39,6,13,2022-12-23 18:05:30
1,319,23,4,2,2022-12-23 18:21:49
1,122,8,9,11,2022-12-23 10:17:54
1,166,15,12,6,2022-12-23 03:11:11
1,235,38,2,9,2022-12-23 13:32:39
1,100,30,2,5,2022-12-23 19:39:11
1,92,35,6,10,2022-12-23 13:54:41
1,344,28,8,4,2022-12-23 00:44:50
1,744,32,9,10,2022-12-23 08:54:14
1,925,31,4,4,2022-12-23 01:44:21
1,576,44,5,13,2022-12-23 01:12:15
1,597,24,1,8,2022-12-23 08:39:34
1,676,48,4,3,2022-12-23 13:58:22
1,972,6,26,1,2022-12-23 18:11:05
