customer_id,trans_date,tran_amount
CS5276,2014-09-02,62
CS4304,2014-04-03,94
CS5412,2011-11-07,59
CS3310,2012-01-02,36
CS4032,2012-05-15,42
CS5240,2014-11-01,104
CS5561,2011-11-14,36
CS4543,2012-04-05,81
CS4375,2013-08-30,36
CS6051,2013-12-06,85
CS2881,2014-05-06,94
CS2376,2012-01-25,63
CS1505,2012-08-10,77
CS1575,2013-07-16,36
CS5461,2014-05-01,73
CS2573,2012-03-03,40
CS1996,2012-04-27,47
CS2987,2013-12-14,42
CS4294,2014-11-20,50
CS2891,2012-08-04,83
CS2054,2014-08-31,89
CS3651,2014-05-19,74
CS4739,2012-07-13,59
CS3430,2011-11-22,101
CS1759,2014-06-16,93
CS2727,2011-06-23,68
CS5388,2014-08-20,89
CS5118,2014-10-03,72
CS3521,2014-03-09,61
CS1866,2011-05-24,82
CS5040,2014-04-16,48
CS1330,2013-06-18,98
CS5895,2013-02-24,93
CS1643,2013-09-11,74
CS4939,2013-03-29,65
CS1741,2013-03-11,82
CS3170,2014-10-02,73
CS5867,2012-07-30,53
CS3789,2014-06-07,38
CS3078,2014-09-11,40
CS5453,2013-12-27,82
CS1434,2012-02-04,76
CS2464,2013-09-06,101
CS3180,2013-05-07,94
CS3789,2012-09-30,80
CS3699,2014-03-01,97
CS4420,2013-12-31,102
CS1914,2013-05-23,37
CS1849,2011-05-16,79
CS1896,2013-04-05,53
CS2620,2012-08-04,104
CS2541,2013-01-30,67
CS5123,2013-06-22,53
CS2610,2011-12-03,77
CS3560,2015-03-14,55
CS4861,2014-12-26,54
CS5758,2012-12-16,68
CS2167,2015-01-19,45
CS4015,2012-01-28,52
CS3176,2014-06-15,35
CS5140,2014-12-22,74
CS6000,2011-12-21,54
CS2390,2011-07-09,93
CS1460,2013-06-01,38
CS5288,2012-09-26,84
CS2688,2014-02-06,95
CS4797,2013-02-24,44
CS1880,2014-09-24,49
CS3450,2012-02-15,60
CS1661,2013-09-29,71
CS5128,2012-01-26,88
CS2403,2013-03-22,38
CS3292,2012-02-28,54
CS4825,2011-08-24,100
CS4916,2012-01-01,52
CS5548,2012-05-08,53
CS5083,2012-04-18,44
CS1904,2013-04-18,56
CS4398,2011-11-11,105
CS4627,2012-03-19,67
CS1545,2011-07-01,103
CS1557,2013-04-12,43
CS3603,2014-09-03,41
CS2690,2014-04-03,93
CS3591,2014-12-05,49
CS5458,2013-06-16,85
CS4339,2012-03-22,35
CS5915,2012-04-16,44
CS4429,2013-09-15,94
CS5810,2012-12-06,83
CS4511,2014-07-27,64
CS1384,2013-05-17,85
CS5889,2011-11-08,83
CS3556,2011-10-18,70
CS6009,2012-03-01,79
CS2207,2012-05-16,79
CS3713,2014-12-10,72
CS2273,2011-09-08,99
CS4369,2013-07-16,83
CS2529,2014-03-29,91
CS4909,2012-08-25,101
CS2103,2011-09-08,102
CS4681,2012-07-07,56
CS3697,2012-12-28,56
CS2766,2011-11-09,78
CS3325,2013-07-05,76
CS4200,2012-05-30,48
CS4317,2012-01-25,76
CS5255,2014-01-07,57
CS2513,2012-08-26,77
CS5855,2014-08-13,42
CS3536,2014-03-15,92
CS5566,2013-11-12,71
CS5698,2012-04-28,80
CS3753,2012-10-29,77
CS5130,2013-08-27,73
CS2613,2014-01-02,41
CS1235,2013-06-25,59
CS2407,2012-03-07,60
CS1675,2014-09-28,79
CS2899,2011-12-23,35
CS2473,2013-07-08,82
CS6046,2014-06-30,45
CS2641,2012-10-21,52
CS2679,2011-11-26,92
CS5700,2012-04-26,66
CS1920,2011-11-06,37
CS3254,2013-08-16,35
CS5805,2011-11-11,53
CS4844,2014-10-18,55
CS3783,2015-01-15,83
CS4767,2013-10-07,102
CS5470,2013-08-09,57
CS2465,2012-07-07,65
CS2849,2013-04-05,83
CS5436,2011-05-16,96
CS3583,2014-10-05,74
CS5155,2013-12-02,90
CS4032,2012-08-06,104
CS5340,2011-09-10,43
CS4871,2015-02-16,95
CS2130,2014-09-26,64
CS3402,2012-03-07,37
CS3220,2011-11-15,105
CS3369,2013-08-12,84
CS2202,2014-01-18,44
CS3046,2015-01-13,105
